my_id;Lon;Lat
46682;523000;498000
46681;523000;498000
46680;523000;498000
46679;523000;498000
46678;524000;498000
46677;524000;498000
46676;524000;498000
46675;524000;498000
46674;524000;498000
46673;524000;498000
46672;524000;498000
46671;524000;498000
46670;524000;498000
46669;524000;498000
46668;524000;498000
46667;524000;498000
46666;524000;498000
46665;524000;498000
46664;524000;498000
46663;524000;498000
46662;524000;498000
46661;524000;497000
46660;524000;497000
46659;524000;497000
46658;524000;497000
46657;525000;497000
46656;525000;497000
46655;525000;497000
46654;525000;497000
46653;525000;497000
46652;525000;497000
46651;525000;497000
46650;525000;497000
46649;525000;497000
46648;525000;497000
46647;525000;497000
46646;525000;497000
46645;525000;497000
46644;525000;497000
46643;525000;497000
46642;525000;497000
46641;525000;497000
46640;525000;497000
46639;525000;497000
46638;525000;497000
46637;526000;497000
46636;526000;497000
46635;526000;497000
46634;526000;497000
46633;526000;497000
46632;526000;497000
46631;526000;497000
46630;526000;497000
46629;526000;498000
46628;526000;498000
46627;526000;498000
46626;526000;498000
46625;526000;498000
46624;526000;498000
46623;526000;498000
46622;527000;498000
46621;527000;498000
46620;527000;498000
46619;527000;498000
46618;527000;498000
46617;527000;498000
46616;527000;498000
46615;527000;498000
46614;528000;498000
46613;528000;498000
46612;528000;497000
46611;528000;497000
46610;528000;497000
46609;528000;497000
46608;528000;497000
46607;528000;497000
46606;528000;497000
46605;528000;497000
46604;528000;497000
46603;528000;497000
46602;528000;497000
46601;528000;497000
46600;528000;497000
46599;528000;497000
46598;528000;497000
46597;528000;497000
46596;528000;497000
46595;528000;497000
46594;528000;497000
46593;528000;497000
46592;528000;497000
46591;528000;497000
46590;528000;497000
46589;529000;497000
46588;529000;497000
46587;529000;497000
46586;529000;497000
46585;529000;497000
46584;529000;497000
46583;529000;497000
46582;529000;497000
46581;529000;497000
46580;529000;497000
46579;529000;497000
46578;529000;497000
46577;529000;497000
46576;529000;497000
46575;529000;497000
46574;529000;497000
46573;529000;497000
46572;529000;497000
46571;529000;497000
46570;529000;497000
46569;529000;497000
46568;529000;497000
46567;529000;497000
46566;529000;497000
46565;529000;497000
46564;529000;497000
46563;530000;497000
46562;530000;497000
46561;530000;497000
46560;530000;497000
46559;530000;497000
46558;530000;497000
46557;530000;497000
46556;530000;497000
46555;530000;498000
46554;530000;498000
46553;530000;498000
46552;530000;498000
46551;530000;498000
46550;530000;498000
46549;530000;498000
46548;530000;498000
46547;530000;498000
46546;530000;498000
46545;530000;498000
46544;530000;498000
46543;530000;498000
46542;530000;498000
46541;530000;498000
46540;530000;498000
46539;530000;498000
46538;530000;498000
46537;530000;498000
46536;530000;498000
46535;530000;498000
46534;530000;498000
46533;530000;498000
46532;530000;498000
46531;530000;498000
46530;530000;498000
46529;530000;498000
46528;530000;498000
46527;530000;498000
46526;530000;498000
46525;530000;498000
46524;531000;498000
46523;531000;498000
46522;531000;498000
46521;531000;498000
46520;531000;498000
46519;531000;498000
46518;531000;498000
46517;531000;498000
46516;531000;498000
46515;531000;498000
46514;531000;498000
46513;531000;498000
46512;531000;498000
46511;531000;498000
46510;531000;498000
46509;531000;498000
46508;531000;498000
46507;531000;498000
46506;531000;498000
46505;531000;498000
46504;531000;498000
46503;531000;498000
46502;531000;498000
46501;532000;498000
46500;532000;498000
46499;532000;498000
46498;532000;497000
46497;532000;497000
46496;532000;497000
46495;532000;497000
46494;532000;497000
46493;532000;497000
46492;532000;497000
46491;532000;497000
46490;532000;497000
46489;532000;497000
46488;532000;497000
46487;532000;497000
46486;532000;497000
46485;532000;497000
46484;532000;497000
46483;532000;497000
46482;532000;497000
46481;532000;497000
46480;532000;497000
46479;533000;497000
46478;533000;497000
46477;533000;497000
46476;533000;497000
46475;533000;497000
46474;533000;497000
46473;533000;497000
46472;533000;497000
46471;533000;497000
46470;533000;497000
46469;533000;497000
46468;533000;497000
46467;533000;497000
46466;533000;497000
46465;533000;497000
46464;533000;497000
46463;533000;497000
46462;533000;497000
46461;533000;497000
46460;533000;497000
46459;533000;497000
46458;533000;497000
46457;533000;497000
46456;534000;497000
46455;534000;497000
46454;534000;497000
46453;534000;497000
46452;534000;497000
46451;534000;497000
46450;534000;497000
46449;534000;497000
46448;534000;497000
46447;534000;497000
46446;534000;497000
46445;534000;497000
46444;534000;497000
46443;534000;497000
46442;534000;497000
46441;534000;497000
46440;534000;496000
46439;534000;496000
46438;534000;496000
46437;534000;496000
46436;534000;496000
46435;534000;496000
46434;534000;496000
46433;534000;496000
46432;534000;496000
46431;534000;496000
46430;534000;496000
46429;534000;496000
46428;534000;496000
46427;534000;496000
46426;534000;496000
46425;534000;496000
46424;534000;496000
46423;534000;496000
46422;534000;496000
46421;534000;496000
46420;534000;496000
46419;534000;495000
46418;534000;495000
46417;534000;495000
46416;534000;495000
46415;534000;495000
46414;534000;495000
46413;534000;495000
46412;533000;495000
46411;534000;495000
46410;534000;495000
46409;534000;495000
46408;534000;495000
46407;534000;495000
46406;534000;495000
46405;534000;495000
46404;534000;495000
46403;534000;495000
46402;534000;495000
46401;534000;495000
46400;534000;495000
46399;534000;495000
46398;534000;495000
46397;534000;495000
46396;534000;495000
46395;534000;495000
46394;534000;495000
46393;534000;495000
