naz_glowna;el_rozr;szer_geo;dlug_geo;wsp_pro_Y;wsp_pro_X;panstwo;woj;powiat;gmina
Olszewka;Olszewka;52??49'11'';20??45'50'';551917.55;618826.99;Polska;mazowieckie;ciechanowski;So?‰sk-gmina wiejska
Olszewka;Olszewka;53??12'44'';21??02'50'';596065.18;636665.99;Polska;mazowieckie;przasnyski;Jednoro??ec-gmina wiejska
Olszewka;Olszewka;53??08'20'';21??27'28'';588771.65;664346.50;Polska;mazowieckie;ostro?È?÷cki;Lelis-gmina wiejska
Olszewka;Olszewka;53??09'54'';21??05'26'';590902.85;639707.93;Polska;mazowieckie;przasnyski;Jednoro??ec-gmina wiejska
Olszewko;;53??03'26'';20??01'44'';577366.48;568936.07;Polska;mazowieckie;??uromi?‰ski;Kluczbork-Osada-gmina wiejska
Olszewko;Olszewko;52??42'06'';20??07'38'';537933.48;576152.71;Polska;mazowieckie;p?Èo?‰ski;Raci?˘??-gmina wiejska
Olszewnica;Olszewnica;52??48'27'';21??19'50'';551650.97;657034.91;Polska;mazowieckie;makowski;Rzewnie-gmina wiejska
Olszewnica Nowa;Olszewnica Nowa;52??26'31'';20??50'29'';510044.73;625120.64;Polska;mazowieckie;legionowski;Wieliszew-gmina wiejska
Olszewnica Stara;Olszewnica Stara;52??26'31'';20??51'49'';510083.44;626630.48;Polska;mazowieckie;legionowski;Wieliszew-gmina wiejska
Olszewo;;53??02'29'';19??57'24'';575538.72;564120.77;Polska;mazowieckie;??uromi?‰ski;??uromin-obszar wiejski
Olszewo;Olszewo;52??48'46'';22??10'51'';554439.17;714293.26;Polska;mazowieckie;ostrowski;Andrzejewo-gmina wiejska
Olszewo-Bo?È?˘ki;Olszewo-Bo?È?˘ki;53??01'36'';20??29'17'';574516.93;599762.12;Polska;mazowieckie;m?Èawski;Stupsk-gmina wiejska
Olszewo-Borki;Olszewo-Borki;53??04'04'';21??31'34'';581034.68;669187.74;Polska;mazowieckie;ostro?È?÷cki;Olszewo-Borki-gmina wiejska
Olszewo-Borzymy;Olszewo-Borzymy;53??01'11'';20??30'23'';573761.79;601005.85;Polska;mazowieckie;m?Èawski;Stupsk-gmina wiejska
Olszewo-Cechny;Olszewo-Cechny;52??48'52'';22??11'33'';554652.22;715076.53;Polska;mazowieckie;ostrowski;Andrzejewo-gmina wiejska
Olszewo-Chlebowo;Olszewo-Chlebowo;53??02'16'';20??29'28'';575746.92;599951.21;Polska;mazowieckie;m?Èawski;Stupsk-gmina wiejska
Olszewo-Grzymki;Olszewo-Grzymki;53??01'10'';20??31'44'';573763.03;602524.97;Polska;mazowieckie;m?Èawski;Stupsk-gmina wiejska
Olszewo-Marcisze;Olszewo-Marcisze;53??01'18'';20??32'17'';574029.33;603125.48;Polska;mazowieckie;m?Èawski;Stupsk-gmina wiejska
Olszewo-Reszki;Olszewo-Reszki;53??02'00'';20??29'40'';575268.02;600182.94;Polska;mazowieckie;m?Èawski;Stupsk-gmina wiejska
Olszewo-Tosie;Olszewo-Tosie;53??01'01'';20??31'24'';573472.34;602156.55;Polska;mazowieckie;m?Èawski;Stupsk-gmina wiejska
Olszowa;;51??32'02'';21??13'08'';409817.69;653850.05;Polska;mazowieckie;radomski;Jastrz?÷bia-gmina wiejska
Olszowa D?˘browa;Olszowa D?˘browa;51??35'51'';21??11'19'';416819.78;651546.35;Polska;mazowieckie;bia?Èobrzeski;Stromiec-gmina wiejska
Olszowa;Olszowa;51??34'54'';20??46'10'';414264.85;622552.50;Polska;mazowieckie;bia?Èobrzeski;Wy?çmierzyce-obszar wiejski
Olszowiec;;52??19'39'';20??03'38'';496254.09;572252.48;Polska;mazowieckie;sochaczewski;I?È??w-gmina wiejska
Olszowiec;;52??17'21'';20??20'02'';492299.91;590951.63;Polska;mazowieckie;sochaczewski;Broch??w-gmina wiejska
Olszowiec;;51??28'02'';20??32'17'';401194.12;606802.29;Polska;mazowieckie;przysuski;Rusin??w-gmina wiejska
Olsz??w;;52??17'27'';20??01'02'';492134.72;569357.67;Polska;mazowieckie;sochaczewski;I?È??w-gmina wiejska
Olsz??wka;;52??00'38'';20??26'41'';461467.91;599125.34;Polska;mazowieckie;??yrardowski;Mszczon??w-obszar wiejski
Olszyc-Folwark;Olszyc-Folwark;52??00'51'';22??05'58'';465419.04;712622.45;Polska;mazowieckie;siedlecki;Domanice-gmina wiejska
Olszyc Szlachecki;;52??01'39'';22??06'32'';466928.73;713206.74;Polska;mazowieckie;siedlecki;Domanice-gmina wiejska
Olszyc W?Èo?çcia?‰ski;;52??01'27'';22??06'05'';466536.24;712708.34;Polska;mazowieckie;siedlecki;Domanice-gmina wiejska
Olszyna;Olszyna;51??50'45'';21??35'56'';445353.92;678950.68;Polska;mazowieckie;garwoli?‰ski;Garwolin-gmina wiejska
Olszynka;Olszynka;51??48'02'';21??26'27'';439942.70;668247.91;Polska;mazowieckie;garwoli?‰ski;Wilga-gmina wiejska
Olszynka Grochowska;Olszynka Grochowska;52??15'20'';21??06'48'';489836.50;644197.33;Polska;mazowieckie;m. St. Warszawa;Praga-Po?Èudnie-dzielnica
Olszynki;Olszynki;52??23'39'';19??47'01'';503441.70;553309.81;Polska;mazowieckie;p?Èocki;G?˘bin-obszar wiejski
Olszynki;;52??20'43'';20??10'50'';498357.37;580395.19;Polska;mazowieckie;sochaczewski;M?Èodzieszyn-gmina wiejska
Olszynki;Olszynki;51??49'47'';21??28'15'';443260.34;670206.56;Polska;mazowieckie;garwoli?‰ski;Wilga-gmina wiejska
Olszyny;Olszyny;52??35'19'';19??27'43'';524864.11;531292.20;Polska;mazowieckie;p?Èocki;Nowy Dunin??w-gmina wiejska
Olszyny;Olszyny;52??51'10'';20??04'06'';554670.46;571917.17;Polska;mazowieckie;??uromi?‰ski;Siemi?˘tkowo-gmina wiejska
Olszyny;;52??29'32'';21??34'12'';517145.51;674422.82;Polska;mazowieckie;wo?Èomi?‰ski;Jad??w-gmina wiejska
Olszyny;Olszyny;53??19'01'';21??15'37'';608128.94;650522.51;Polska;mazowieckie;ostro?È?÷cki;Myszyniec-obszar wiejski
Olszyny;Olszyny;53??18'12'';21??17'14'';606683.47;652368.38;Polska;mazowieckie;ostro?È?÷cki;Myszyniec-obszar wiejski
Olszyny;Olszyny;51??12'45'';21??24'23'';374504.44;668021.83;Polska;mazowieckie;lipski;Ciepiel??w-gmina wiejska
Olunin;;52??19'05'';20??05'12'';495230.35;574047.06;Polska;mazowieckie;sochaczewski;I?È??w-gmina wiejska
O?Èda;O?Èda;52??54'02'';21??23'11'';562120.37;660454.14;Polska;mazowieckie;makowski;R????an-obszar wiejski
O?Èdaki;;52??43'31'';20??55'20'';541689.63;629776.74;Polska;mazowieckie;pu?Ètuski;Gzy-gmina wiejska
O?Èdaki;;52??25'14'';21??29'43'';509000.34;669627.64;Polska;mazowieckie;wo?Èomi?‰ski;T?Èuszcz-obszar wiejski
O?Èdaki;O?Èdaki;53??05'45'';21??41'41'';584558.51;680370.46;Polska;mazowieckie;ostro?È?÷cki;Rzeku?‰-gmina wiejska
O?Èdaki-Polonia;O?Èdaki-Polonia;52??52'32'';22??16'05'';561675.56;719846.80;Polska;mazowieckie;ostrowski;Andrzejewo-gmina wiejska
O?Èdakowizna;O?Èdakowizna;52??19'20'';21??32'13'';498178.24;672836.33;Polska;mazowieckie;mi?‰ski;Stanis?Èaw??w-gmina wiejska
O?Èowskie;O?Èowskie;52??37'40'';22??23'11'';534508.39;729112.00;Polska;mazowieckie;ostrowski;Nur-gmina wiejska
O?Ètarze-Go?Èacze;O?Ètarze-Go?Èacze;52??40'49'';22??15'53'';539953.36;720606.53;Polska;mazowieckie;ostrowski;Nur-gmina wiejska
Kolonia O?Ètarze-Go?Èacze;O?Ètarze-Go?Èacze;52??41'48'';22??16'03'';541786.93;720721.44;Polska;mazowieckie;ostrowski;Nur-gmina wiejska
O?Ètarzew;;52??12'40'';20??45'46'';484246.91;620404.70;Polska;mazowieckie;warszawski zachodni;O??ar??w Mazowiecki-obszar wiejski
Omi?÷cin;;51??19'21'';20??50'39'';385596.92;628461.89;Polska;mazowieckie;szyd?Èowiecki;Szyd?Èowiec-obszar wiejski
Omi?÷cinki;Omi?÷cinki;52??34'43'';20??33'57'';524811.64;606065.58;Polska;mazowieckie;p?Èo?‰ski;Joniec-gmina wiejska
Omi?÷ciny;Omi?÷ciny;52??34'49'';20??33'48'';524978.09;605893.01;Polska;mazowieckie;p?Èo?‰ski;Joniec-gmina wiejska
Onufryn??w;Onufryn??w;51??46'29'';21??34'57'';437405.60;678112.46;Polska;mazowieckie;garwoli?‰ski;?¸askarzew-gmina wiejska
Opactwo;Opactwo;51??32'04'';21??46'10'';411179.72;692023.00;Polska;mazowieckie;kozienicki;Sieciech??w-gmina wiejska
Opacz;Opacz;52??06'16'';21??09'56'';473132.59;648269.11;Polska;mazowieckie;piaseczy?‰ski;Konstancin-Jeziorna-obszar wiejski
Opacz-Kolonia;Opacz-Kolonia;52??10'44'';20??53'57'';480887.40;629822.94;Polska;mazowieckie;pruszkowski;Micha?Èowice-gmina wiejska
Opacz-Parcela;Opacz-Parcela;52??10'20'';20??55'38'';480213.38;631757.84;Polska;mazowieckie;m. St. Warszawa;W?Èochy-dzielnica
Opacz Ma?Èa;Opacz Ma?Èa;52??10'04'';20??54'25'';479667.36;630373.57;Polska;mazowieckie;pruszkowski;Micha?Èowice-gmina wiejska
Opacz Wielka;Opacz Wielka;52??10'54'';20??55'20'';481244.23;631389.80;Polska;mazowieckie;m. St. Warszawa;W?Èochy-dzielnica
Opaleniec;Opaleniec;53??17'24'';20??54'47'';604465.75;627478.96;Polska;mazowieckie;przasnyski;Chorzele-obszar wiejski
Opale?‰;;52??18'08'';20??52'13'';494560.62;627485.18;Polska;mazowieckie;warszawski zachodni;Izabelin-gmina wiejska
Opatkowice;Opatkowice;51??36'46'';21??31'29'';419259.52;674757.09;Polska;mazowieckie;kozienicki;Kozienice-obszar wiejski
Opatowina;Opatowina;52??43'56'';22??16'45'';545764.42;721324.40;Polska;mazowieckie;ostrowski;Nur-gmina wiejska
Opat??wiec;Opat??wiec;52??37'09'';19??56'46'';528572.29;564026.19;Polska;mazowieckie;p?Èocki;Staro??reby-gmina wiejska
Op?÷chowo;Op?÷chowo;53??03'34'';21??47'33'';580763.79;687071.52;Polska;mazowieckie;ostro?È?÷cki;Troszyn-gmina wiejska
Opi?Èki P?Èoskie;Opi?Èki P?Èoskie;53??14'47'';20??44'04'';599308.75;615687.54;Polska;mazowieckie;przasnyski;Chorzele-obszar wiejski
Opinog??ra-Kolonia;Opinog??ra-Kolonia;52??55'07'';20??43'49'';562864.21;616290.47;Polska;mazowieckie;ciechanowski;Opinog??ra G??rna-gmina wiejska
Opinog??ra Dolna;Opinog??ra Dolna;52??54'44'';20??42'31'';562112.93;614858.83;Polska;mazowieckie;ciechanowski;Opinog??ra G??rna-gmina wiejska
Opinog??ra G??rna;Opinog??ra G??rna;52??54'22'';20??43'10'';561443.38;615596.97;Polska;mazowieckie;ciechanowski;Opinog??ra G??rna-gmina wiejska
Opinog??ra;Opinog??ra;52??54'10'';20??46'08'';561173.63;618935.21;Polska;mazowieckie;ciechanowski;Opinog??ra G??rna-gmina wiejska
Opocznie;Opocznie;51??11'37'';21??17'46'';372158.43;660388.40;Polska;mazowieckie;radomski;I?È??a-obszar wiejski
Opole;;52??29'33'';21??08'22'';516223.32;645204.47;Polska;mazowieckie;wo?Èomi?‰ski;Radzymin-obszar wiejski
Opole-?‹wierczyna;Opole-?‹wierczyna;52??11'43'';22??12'45'';485886.24;719484.53;Polska;mazowieckie;siedlecki;Siedlce-gmina wiejska
Opo??d??ew;Opo??d??ew;51??45'55'';21??05'30'';435280.32;644293.06;Polska;mazowieckie;gr??jecki;Warka-obszar wiejski
Opypy;Opypy;52??05'17'';20??40'45'';470433.23;615007.56;Polska;mazowieckie;grodziski;Grodzisk Mazowiecki-obszar wiejski
Or?÷??na;Or?÷??na;52??04'01'';21??00'15'';468649.68;637331.02;Polska;mazowieckie;piaseczy?‰ski;Piaseczno-miasto
Organki;Organki;53??24'09'';21??34'43'';618361.53;671368.71;Polska;mazowieckie;ostro?È?÷cki;?¸yse-gmina wiejska
Osiedle Orlik;Orlik;52??13'37'';21??05'27'';486616.74;642751.86;Polska;mazowieckie;m. St. Warszawa;Praga-Po?Èudnie-dzielnica
Or?Èo;Or?Èo;52??44'28'';21??58'56'';545877.06;701246.97;Polska;mazowieckie;ostrowski;Ma?Èkinia G??rna-gmina wiejska
Or?Èowo;;52??46'30'';19??50'44'';545821.78;557022.43;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Or?Èowo;Or?Èowo;52??47'41'';21??22'44'';550331.81;660343.79;Polska;mazowieckie;makowski;Rzewnie-gmina wiejska
Or?È??w;;52??10'20'';20??13'46'';479171.11;584050.93;Polska;mazowieckie;sochaczewski;Nowa Sucha-gmina wiejska
Or?È??w;;51??14'27'';20??54'25'';376630.44;633070.38;Polska;mazowieckie;szyd?Èowiecki;Jastrz?˘b-gmina wiejska
Kolonia Or?È??w;Or?È??w;51??14'44'';20??54'55'';377185.79;633634.21;Polska;mazowieckie;szyd?Èowiecki;Jastrz?˘b-gmina wiejska
Or?Èy;Or?Èy;53??23'19'';21??25'40'';616472.26;661396.85;Polska;mazowieckie;ostro?È?÷cki;Myszyniec-obszar wiejski
Or?Èy;Or?Èy;52??13'19'';20??41'04'';485324.15;615026.62;Polska;mazowieckie;warszawski zachodni;O??ar??w Mazowiecki-obszar wiejski
Or?Èy-Cesin;Or?Èy-Cesin;52??14'52'';20??17'34'';487647.15;588230.71;Polska;mazowieckie;sochaczewski;Sochaczew-gmina wiejska
Ormi?‰skie;Ormi?‰skie;51??18'04'';21??05'16'';383674.03;645497.59;Polska;mazowieckie;radomski;Wierzbica-gmina wiejska
Ornat??wka;Ornat??wka;51??08'12'';21??44'01'';366869.35;691182.75;Polska;mazowieckie;lipski;Solec nad Wis?È?˘-gmina wiejska
Oronne;Oronne;51??42'07'';21??36'50'';429388.35;680563.32;Polska;mazowieckie;garwoli?‰ski;Maciejowice-gmina wiejska
Oro?‰sko;;51??18'55'';20??59'24'';385059.51;638641.34;Polska;mazowieckie;szyd?Èowiecki;Oro?‰sko-gmina wiejska
Orszymowo;Orszymowo;52??26'54'';20??09'28'';509788.90;578657.19;Polska;mazowieckie;p?Èocki;Ma?Èa Wie?ç-gmina wiejska
Oryszew-Osada;Oryszew-Osada;52??07'03'';20??22'40'';473269.12;594306.82;Polska;mazowieckie;??yrardowski;Wiskitki-gmina wiejska
Orzechowo;Orzechowo;51??44'59'';20??59'26'';433357.51;637364.08;Polska;mazowieckie;gr??jecki;Jasieniec-gmina wiejska
Orzech??w;Orzech??w;51??55'43'';21??08'35'';453536.06;647298.53;Polska;mazowieckie;gr??jecki;Chyn??w-gmina wiejska
Orzech??w;;52??20'34'';21??53'56'';501378.65;697406.12;Polska;mazowieckie;w?÷growski;Wierzbno-gmina wiejska
Orzech??wek;Orzech??wek;52??10'32'';21??10'36'';481056.20;648783.73;Polska;mazowieckie;m. St. Warszawa;Wawer-dzielnica
Orzo?È;Orzo?È;53??10'23'';21??14'59'';592106.56;650321.48;Polska;mazowieckie;ostro?È?÷cki;Baranowo-gmina wiejska
Orze?Èek;;52??37'53'';21??57'11'';533610.05;699781.12;Polska;mazowieckie;w?÷growski;Sadowne-gmina wiejska
Orzo?Èek;Orzo?Èek;53??11'41'';21??16'19'';594572.39;651727.43;Polska;mazowieckie;ostro?È?÷cki;Baranowo-gmina wiejska
Orzesznik;;52??24'54'';21??16'33'';507890.25;654731.48;Polska;mazowieckie;wo?Èomi?‰ski;Klemb??w-gmina wiejska
Orzesz??wka;;52??28'22'';22??07'54'';516489.64;712627.32;Polska;mazowieckie;w?÷growski;Miedzna-gmina wiejska
Orzeszyn;Orzeszyn;52??01'34'';21??05'21'';464280.92;643289.78;Polska;mazowieckie;piaseczy?‰ski;Piaseczno-obszar wiejski
Orzyc;Orzyc;52??49'17'';21??11'57'';552907.38;648135.13;Polska;mazowieckie;makowski;Szelk??w-gmina wiejska
Osada;Osada;52??24'26'';19??25'58'';504663.72;529426.51;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Osada;;52??38'59'';22??18'50'';536709.63;724091.78;Polska;mazowieckie;soko?Èowski;Ceran??w-gmina wiejska
Osada-Wola;Wola;52??42'32'';20??30'42'';539197.31;602103.47;Polska;mazowieckie;ciechanowski;Ojrze?‰-gmina wiejska
Os?÷czyzna;Os?÷czyzna;52??18'37'';21??35'26'';496967.21;676538.63;Polska;mazowieckie;mi?‰ski;Dobre-gmina wiejska
Os?÷ka;;52??24'08'';21??39'15'';507347.14;680501.77;Polska;mazowieckie;wo?Èomi?‰ski;Strach??wka-gmina wiejska
Osichy;Osichy;53??24'57'';21??18'35'';619229.61;653462.30;Polska;mazowieckie;ostro?È?÷cki;Myszyniec-obszar wiejski
Osieck;Osieck;51??57'58'';21??25'14'';458310.33;666227.27;Polska;mazowieckie;otwocki;Osieck-gmina wiejska
Osieczek;Osieczek;51??53'37'';20??43'31'';448875.96;618675.21;Polska;mazowieckie;gr??jecki;Pniewy-gmina wiejska
Kolonia Osieczek;Osieczek;51??53'49'';20??41'58'';449213.25;616902.28;Polska;mazowieckie;gr??jecki;Pniewy-gmina wiejska
Osiedle;Osiedle;52??34'14'';19??48'32'';523049.70;554804.75;Polska;mazowieckie;p?Èocki;Radzanowo-gmina wiejska
Osiedle;Osiedle;52??30'21'';19??50'12'';515870.04;556775.68;Polska;mazowieckie;p?Èocki;S?Èupno-gmina wiejska
Osiedle;Osiedle;52??28'56'';21??02'44'';514906.64;638859.66;Polska;mazowieckie;legionowski;Serock-obszar wiejski
Osiedle;Osiedle;52??26'39'';21??16'53'';511144.76;655006.76;Polska;mazowieckie;wo?Èomi?‰ski;Klemb??w-gmina wiejska
Osiedle;Osiedle;51??42'09'';20??43'35'';427648.94;619266.96;Polska;mazowieckie;gr??jecki;Mogielnica-miasto
Osiedle B?Èonie;B?Èonie;52??23'29'';22??01'02'';507111.70;705236.88;Polska;mazowieckie;w?÷growski;W?÷gr??w-gmina miejska
Osiedle 1000-lecia;1000-lecia;52??30'56'';21??04'05'';518651.84;640286.41;Polska;mazowieckie;legionowski;Serock-miasto
Osiedle 9 Sierpnia;9 Sierpnia;52??23'41'';22??00'48'';507471.19;704956.96;Polska;mazowieckie;w?÷growski;W?÷gr??w-gmina miejska
Osiedle im. Oskara Kolberga;im. Oskara Kolberga;51??21'54'';21??07'28'';390850.40;647841.92;Polska;mazowieckie;m. Radom;Radom-gmina miejska
Osiedle im. Jacka Malczewskiego;im. Jacka Malczewskiego;51??24'38'';21??09'26'';395982.31;649969.15;Polska;mazowieckie;m. Radom;Radom-gmina miejska
Osiedle im. Obro?‰c??w M?Èawy;im. Obro?‰c??w M?Èawy;53??07'20'';20??21'35'';584977.12;590969.88;Polska;mazowieckie;m?Èawski;M?Èawa-gmina miejska
Osiedle Wilga;Osiedle Wilga;51??49'40'';21??24'45'';442919.53;666183.09;Polska;mazowieckie;garwoli?‰ski;Wilga-gmina wiejska
Osiedle P?Èo?‰ska;P?Èo?‰ska;52??52'04'';20??37'45'';557040.47;609629.73;Polska;mazowieckie;ciechanowski;Ciechan??w-gmina miejska
Osiedle za ??elazn?˘ Bram?˘;za ??elazn?˘ Bram?˘;52??14'10'';21??00'08'';487460.74;636684.74;Polska;mazowieckie;m. St. Warszawa;?‹r??dmie?çcie-dzielnica
Osiek;;52??48'59'';19??26'55'';550183.64;530224.87;Polska;mazowieckie;sierpecki;Mochowo-gmina wiejska
Osiek;;52??48'46'';19??56'16'';550099.76;563186.79;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Osiek;Osiek;52??35'39'';20??32'32'';526490.82;604440.69;Polska;mazowieckie;p?Èo?‰ski;Joniec-gmina wiejska
Osiek;Osiek;52??32'00'';20??11'04'';519282.12;580319.11;Polska;mazowieckie;p?Èocki;Bulkowo-gmina wiejska
Osiek;Osiek;52??27'26'';20??16'20'';510906.64;586419.99;Polska;mazowieckie;p?Èo?‰ski;Czerwi?‰sk nad Wis?È?˘-gmina wiejska
Osiek;;52??12'31'';20??36'35'';483725.76;609957.29;Polska;mazowieckie;warszawski zachodni;B?Èonie-miasto
Osiek;Osiek;51??17'04'';21??07'40'';381901.44;648338.63;Polska;mazowieckie;radomski;Kowala-gmina wiejska
Osiek-Aleksandrowo;Osiek-Aleksandrowo;52??46'31'';20??54'44'';547223.81;628947.23;Polska;mazowieckie;ciechanowski;Go?Èymin-O?çrodek-gmina wiejska
Osiek-Parcele;Osiek-Parcele;52??48'43'';19??56'24'';550009.05;563337.73;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Osiek-W?Èostybory;Osiek-W?Èostybory;52??48'26'';19??57'14'';549496.26;564280.51;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Osiek-W??lka;Osiek-W??lka;52??46'34'';20??53'11'';547275.49;627208.12;Polska;mazowieckie;ciechanowski;Go?Èymin-O?çrodek-gmina wiejska
Osiek G??rny;Osiek G??rny;52??47'05'';20??54'27'';548287.28;628602.07;Polska;mazowieckie;ciechanowski;Go?Èymin-O?çrodek-gmina wiejska
Osiek Piaseczny;;52??47'55'';19??56'27'';548527.11;563413.27;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Osiek Wielki;Osiek Wielki;52??48'59'';19??55'40'';550492.58;562507.83;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Kolonia Osiek;;52??13'16'';20??36'31'';485113.85;609850.55;Polska;mazowieckie;warszawski zachodni;B?Èonie-obszar wiejski
Kolonia Osiek;Osiek;51??17'38'';21??08'07'';382972.23;648834.79;Polska;mazowieckie;radomski;Kowala-gmina wiejska
Osiembor??w;Osiembor??w;51??46'43'';21??19'24'';437247.26;660218.68;Polska;mazowieckie;kozienicki;Magnuszew-gmina wiejska
Osiniak;;51??25'14'';21??42'59'';398384.28;688807.27;Polska;mazowieckie;zwole?‰ski;Policzna-gmina wiejska
Osinki;Osinki;51??10'27'';21??25'33'';370280.83;669520.61;Polska;mazowieckie;lipski;Rzeczni??w-gmina wiejska
Osiny;Osiny;52??21'10'';19??21'40'';498608.52;524579.43;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Osiny;;52??45'41'';21??22'09'';546604.22;659810.68;Polska;mazowieckie;wyszkowski;Rz?˘?çnik-gmina wiejska
Osiny;Osiny;52??32'13'';21??19'39'';521572.60;657808.47;Polska;mazowieckie;wyszkowski;Somianka-gmina wiejska
Osiny;Osiny;52??08'30'';20??28'51'';476106.80;601307.91;Polska;mazowieckie;grodziski;Baran??w-gmina wiejska
Osiny;Osiny;52??10'51'';21??37'36'';482670.78;679533.67;Polska;mazowieckie;mi?‰ski;Mi?‰sk Mazowiecki-gmina wiejska
Osiny;;52??09'07'';22??24'11'';481664.34;732726.19;Polska;mazowieckie;siedlecki;Siedlce-gmina wiejska
Osiny;Osiny;51??47'50'';21??00'43'';438682.23;638697.38;Polska;mazowieckie;gr??jecki;Jasieniec-gmina wiejska
Osiny;;51??23'56'';20??44'36'';393917.06;621236.60;Polska;mazowieckie;przysuski;Wieniawa-gmina wiejska
Osiny;;51??20'28'';21??33'43'';389167.01;678382.69;Polska;mazowieckie;zwole?‰ski;Zwole?‰-obszar wiejski
Osiny Dolne;Osiny Dolne;52??16'40'';22??11'11'';494977.43;717297.46;Polska;mazowieckie;siedlecki;Mokobody-gmina wiejska
Kolonia Osiny Dolne;Osiny Dolne;52??16'35'';22??09'51'';494756.57;715789.14;Polska;mazowieckie;siedlecki;Mokobody-gmina wiejska
Osiny G??rne;Osiny G??rne;52??15'56'';22??10'59'';493608.91;717129.95;Polska;mazowieckie;siedlecki;Mokobody-gmina wiejska
Kolonia Osiny G??rne;Osiny G??rne;52??15'37'';22??09'41'';492960.30;715683.39;Polska;mazowieckie;siedlecki;Mokobody-gmina wiejska
Kolonia Osiny;Osiny;51??48'05'';21??00'02'';439105.52;637891.00;Polska;mazowieckie;gr??jecki;Jasieniec-gmina wiejska
Osi?‰skie;;52??05'32'';22??00'21'';473825.31;705842.90;Polska;mazowieckie;siedlecki;Sk??rzec-gmina wiejska
Osmanka;;52??48'59'';19??53'03'';550455.57;559569.65;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Osmolin;Osmolin;52??17'51'';19??50'29'';492722.15;557360.38;Polska;mazowieckie;gostyni?‰ski;Sanniki-obszar wiejski
Osmolinek;Osmolinek;52??29'19'';19??59'16'';514098.63;567047.00;Polska;mazowieckie;p?Èocki;Bodzan??w-gmina wiejska
Osm??lsk G??rny;Osm??lsk G??rny;52??18'18'';19??51'26'';493568.75;558429.90;Polska;mazowieckie;gostyni?‰ski;Sanniki-obszar wiejski
Osowa;;53??05'03'';20??04'59'';580416.28;572519.86;Polska;mazowieckie;??uromi?‰ski;Kluczbork-Osada-gmina wiejska
Osowa Drobi?‰ska;;52??50'16'';20??02'50'';552981.54;570520.38;Polska;mazowieckie;??uromi?‰ski;Siemi?˘tkowo-gmina wiejska
Osowa Krzeczanowska;;52??50'27'';20??03'28'';553331.72;571226.17;Polska;mazowieckie;??uromi?‰ski;Siemi?˘tkowo-gmina wiejska
Osowa ?¸aszewska;;52??50'48'';20??02'02'';553956.99;569608.31;Polska;mazowieckie;??uromi?‰ski;Siemi?˘tkowo-gmina wiejska
Osowia;Osowia;52??22'22'';19??31'02'';500874.36;535193.37;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Osowia;Osowia;52??21'51'';19??32'06'';499942.07;536427.54;Polska;mazowieckie;gostyni?‰ski;Szczawin Ko?çcielny-gmina wiejska
Osowie;Osowie;51??31'55'';21??14'03'';409633.79;654915.84;Polska;mazowieckie;radomski;Jastrz?÷bia-gmina wiejska
Osowie;;51??29'39'';21??29'51'';406025.11;673316.12;Polska;mazowieckie;radomski;Pionki-gmina wiejska
Osowiec;Osowiec;52??47'48'';19??55'25'';548295.84;562255.28;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Osowiec;Osowiec;52??02'05'';20??39'06'';464467.54;613253.85;Polska;mazowieckie;grodziski;??abia Wola-gmina wiejska
Osowiec;;52??26'46'';21??58'19'';513066.97;701907.44;Polska;mazowieckie;w?÷growski;Liw-gmina wiejska
Osowiec;Osowiec;52??26'08'';21??58'26'';511888.95;702095.35;Polska;mazowieckie;w?÷growski;Liw-gmina wiejska
Osowiec;Osowiec;52??18'28'';21??36'06'';496726.63;677310.25;Polska;mazowieckie;mi?‰ski;Dobre-gmina wiejska
Osowiec-Parcela;Osowiec-Parcela;52??03'14'';20??38'34'';466562.74;612600.65;Polska;mazowieckie;grodziski;??abia Wola-gmina wiejska
Nowy Os??w;Nowy Os??w;51??32'03'';20??57'22'';409331.46;635636.19;Polska;mazowieckie;bia?Èobrzeski;Stara B?Èotnica-gmina wiejska
Os??wiec Kmiecy;Os??wiec Kmiecy;53??04'35'';20??56'22'';580757.67;629886.16;Polska;mazowieckie;przasnyski;Przasnysz-gmina wiejska
Os??wiec Szlachecki;Os??wiec Szlachecki;53??05'38'';20??56'50'';582720.90;630349.04;Polska;mazowieckie;przasnyski;Przasnysz-gmina wiejska
Os??wka;;52??52'48'';19??33'41'';557310.81;537767.89;Polska;mazowieckie;sierpecki;Sierpc-gmina wiejska
Os??wka;Os??wka;52??44'43'';19??34'50'';542339.50;539178.27;Polska;mazowieckie;sierpecki;Mochowo-gmina wiejska
Os??wka;;53??06'44'';19??55'00'';583380.77;561339.07;Polska;mazowieckie;??uromi?‰ski;Lubowidz-gmina wiejska
