naz_glowna;el_rozr;szer_geo;dlug_geo;wsp_pro_Y;wsp_pro_X;panstwo;woj;powiat;gmina
Konstancin-Jeziorna;Konstancin-Jeziorna;52??05'34'';21??07'05'';471744.22;645061.30;Polska;mazowieckie;piaseczy?‰ski;Konstancin-Jeziorna-miasto
Konstancja;Konstancja;52??26'08'';19??20'38'';507809.45;523370.63;Polska;mazowieckie;gostyni?‰ski;Gostynin-gmina wiejska
Konstantowo;Konstantowo;52??33'08'';19??49'07'';521030.37;555486.18;Polska;mazowieckie;p?Èocki;S?Èupno-gmina wiejska
Konstant??w;;52??10'11'';20??34'59'';479361.87;608230.26;Polska;mazowieckie;warszawski zachodni;B?Èonie-obszar wiejski
Konstant??w Drugi;Konstant??w Drugi;52??09'51'';20??34'39'';478735.92;607863.89;Polska;mazowieckie;warszawski zachodni;B?Èonie-obszar wiejski
Konstantyn??w;Konstantyn??w;52??18'42'';19??33'24'';494102.73;537936.71;Polska;mazowieckie;gostyni?‰ski;Szczawin Ko?çcielny-gmina wiejska
Konstantyn??w;Konstantyn??w;52??22'20'';19??48'26'';501019.11;554939.13;Polska;mazowieckie;p?Èocki;G?˘bin-obszar wiejski
Konstantyn??w;Konstantyn??w;52??18'41'';21??00'35'';495834.27;636967.42;Polska;mazowieckie;m. St. Warszawa;Bia?Èo?È?÷ka-dzielnica
Konstantyn??w;;52??12'20'';20??07'07'';482754.72;576416.89;Polska;mazowieckie;sochaczewski;Rybno-gmina wiejska
Konstantyn??w;Konstantyn??w;51??50'54'';20??43'36'';443846.22;618891.95;Polska;mazowieckie;gr??jecki;B?È?÷d??w-gmina wiejska
Konstantyn??w;Konstantyn??w;51??07'42'';21??35'56'';365613.92;681785.04;Polska;mazowieckie;lipski;Lipsko-obszar wiejski
Konstantyn??wka;Konstantyn??wka;52??00'54'';21??11'26'';463232.52;650282.16;Polska;mazowieckie;piaseczy?‰ski;G??ra Kalwaria-obszar wiejski
Konstantyn??wka;Konstantyn??wka;53??06'54'';21??33'03'';586330.01;670674.40;Polska;mazowieckie;ostro?È?÷cki;Lelis-gmina wiejska
Konstantyn??wka;Konstantyn??wka;51??50'50'';20??43'59'';443756.35;619333.30;Polska;mazowieckie;gr??jecki;Belsk Du??y-gmina wiejska
Konsystorz??wka;Konsystorz??wka;51??34'56'';20??52'41'';414515.26;630077.95;Polska;mazowieckie;bia?Èobrzeski;Radzan??w-gmina wiejska
Kontrawers;Kontrawers;51??07'18'';21??37'27'';364925.56;683586.13;Polska;mazowieckie;lipski;Lipsko-obszar wiejski
Kontrewers;Kontrewers;52??53'24'';20??21'36'';559136.27;591466.04;Polska;mazowieckie;m?Èawski;Strzegowo-gmina wiejska
Kontrowers;Kontrowers;52??26'02'';21??00'25'';509448.68;636393.73;Polska;mazowieckie;legionowski;Niepor?÷t-gmina wiejska
Kontrowers;Kontrowers;51??47'14'';21??48'34'';439369.67;693701.99;Polska;mazowieckie;garwoli?‰ski;??elech??w-obszar wiejski
Ko?‰ce;Ko?‰ce;51??06'45'';21??41'53'';364097.18;688791.87;Polska;mazowieckie;lipski;Solec nad Wis?È?˘-gmina wiejska
Ko?‰czyce;Ko?‰czyce;51??22'16'';21??04'05'';391401.81;643903.06;Polska;mazowieckie;m. Radom;Radom-gmina miejska
Ko?‰czyce-Kolonia;Ko?‰czyce-Kolonia;51??22'05'';21??02'51'';391036.79;642483.02;Polska;mazowieckie;radomski;Kowala-gmina wiejska
Ko?‰czytrudy;;52??23'35'';22??31'53'';508887.48;740198.23;Polska;mazowieckie;soko?Èowski;Repki-gmina wiejska
Kopaczyska;Kopaczyska;53??15'01'';21??15'16'';600712.54;650364.11;Polska;mazowieckie;ostro?È?÷cki;Baranowo-gmina wiejska
Kopana;Kopana;52??05'34'';20??44'35'';471065.23;619367.35;Polska;mazowieckie;pruszkowski;Brwin??w-obszar wiejski
Kopana;Kopana;51??56'31'';20??51'28'';454475.04;627667.34;Polska;mazowieckie;piaseczy?‰ski;Tarczyn-obszar wiejski
Kopanica;Kopanica;52??18'45'';21??25'09'';496811.74;664856.36;Polska;mazowieckie;wo?Èomi?‰ski;Po?çwi?÷tne-gmina wiejska
